,pokedex_number,name,german_name,japanese_name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
524,438,Bonsly,Mobai,ウソハチ (Usohachi),4,Normal,Bonsai Pokémon,1,Rock,,0.5,15.0,3,Sturdy,Rock Head,Rattled,290,50,80,95,10,45,10,255,70,58,Medium Fast,1,Undiscovered,,50.0,20,0.5,0.5,2,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,1
525,439,Mime Jr.,Pantimimi,マネネ (Manene),4,Normal,Mime Pokémon,2,Psychic,Fairy,0.6,13.0,3,Soundproof,Filter,Technician,310,20,25,45,70,90,60,145,70,62,Medium Fast,1,Undiscovered,,50.0,25,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
526,440,Happiny,Wonneira,ピンプク (Pinpuku),4,Normal,Playhouse Pokémon,1,Normal,,0.6,24.4,3,Natural Cure,Serene Grace,Friend Guard,220,100,5,5,15,65,30,130,140,110,Fast,1,Undiscovered,,0.0,40,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
527,441,Chatot,Plaudagei,ペラップ (Perap),4,Normal,Music Note Pokémon,2,Normal,Flying,0.5,1.9,3,Keen Eye,Tangled Feet,Big Pecks,411,76,65,45,92,42,91,30,35,144,Medium Slow,1,Flying,,50.0,20,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
528,442,Spiritomb,Kryppuk,ミカルゲ (Mikaruge),4,Normal,Forbidden Pokémon,2,Ghost,Dark,1.0,108.0,2,Pressure,,Infiltrator,485,50,92,108,92,108,35,100,70,170,Medium Fast,1,Amorphous,,50.0,30,0,1,1,1,1,1,0,0.5,1,1,0,1,1,1,1,1,1,2
529,443,Gible,Kaumalat,フカマル (Fukamaru),4,Normal,Land Shark Pokémon,2,Dragon,Ground,0.7,20.5,2,Sand Veil,,Rough Skin,300,58,70,45,40,45,42,45,70,60,Slow,2,Dragon,Monster,50.0,40,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2
530,444,Gabite,Knarksel,ガバイト (Gabite),4,Normal,Cave Pokémon,2,Dragon,Ground,1.4,56.0,2,Sand Veil,,Rough Skin,410,68,90,65,50,55,82,45,70,144,Slow,2,Dragon,Monster,50.0,40,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2
531,445,Garchomp,Knakrack,ガブリアス (Gaburias),4,Normal,Mach Pokémon,2,Dragon,Ground,1.9,95.0,2,Sand Veil,,Rough Skin,600,108,130,95,80,85,102,45,70,270,Slow,2,Dragon,Monster,50.0,40,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2
532,445,Mega Garchomp,Knakrack,ガブリアス (Gaburias),4,Normal,Mach Pokémon,2,Dragon,Ground,1.9,95.0,1,Sand Force,,,700,108,170,115,120,95,92,45,70,315,Slow,2,Dragon,Monster,50.0,40,1,0.5,1,0,1,4,1,0.5,1,1,1,1,0.5,1,2,1,1,2
533,446,Munchlax,Mampfaxo,ゴンベ (Gonbe),4,Normal,Big Eater Pokémon,1,Normal,,0.6,105.0,3,Pickup,Thick Fat,Gluttony,390,135,85,40,40,85,5,50,70,78,Slow,1,Undiscovered,,87.5,40,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
534,447,Riolu,Riolu,リオル (Riolu),4,Normal,Emanation Pokémon,1,Fighting,,0.7,20.2,3,Steadfast,Inner Focus,Prankster,285,40,70,40,35,40,60,75,70,57,Medium Slow,1,Undiscovered,,87.5,25,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
535,448,Lucario,Lucario,ルカリオ (Lucario),4,Normal,Aura Pokémon,2,Fighting,Steel,1.2,54.0,3,Steadfast,Inner Focus,Justified,525,70,110,70,115,70,90,45,70,184,Medium Slow,2,Field,Human-Like,87.5,25,0.5,2,1,1,0.5,0.5,2,0,2,1,1,0.25,0.25,1,0.5,0.5,0.5,1
536,448,Mega Lucario,Lucario,ルカリオ (Lucario),4,Normal,Aura Pokémon,2,Fighting,Steel,1.3,57.5,1,Adaptability,,,625,70,145,88,140,70,112,45,70,219,Medium Slow,2,Field,Human-Like,87.5,25,0.5,2,1,1,0.5,0.5,2,0,2,1,1,0.25,0.25,1,0.5,0.5,0.5,1
537,449,Hippopotas,Hippopotas,ヒポポタス (Hippopotas),4,Normal,Hippo Pokémon,1,Ground,,0.8,49.5,2,Sand Stream,,Sand Force,330,68,72,78,38,42,32,140,70,66,Slow,1,Field,,50.0,30,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
538,450,Hippowdon,Hippoterus,カバルドン (Kabaldon),4,Normal,Heavyweight Pokémon,1,Ground,,2.0,300.0,2,Sand Stream,,Sand Force,525,108,112,118,68,72,47,60,70,184,Slow,1,Field,,50.0,30,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
539,451,Skorupi,Pionskora,スコルピ (Scorupi),4,Normal,Scorpion Pokémon,2,Poison,Bug,0.8,12.0,3,Battle Armor,Sniper,Keen Eye,330,40,50,90,30,55,65,120,70,66,Slow,2,Bug,Water 3,50.0,20,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
540,452,Drapion,Piondragi,ドラピオン (Dorapion),4,Normal,Ogre Scorp Pokémon,2,Poison,Dark,1.3,61.5,3,Battle Armor,Sniper,Keen Eye,500,70,90,110,60,75,95,45,70,175,Slow,2,Bug,Water 3,50.0,20,1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1
541,453,Croagunk,Glibunkel,グレッグル (Gureggru),4,Normal,Toxic Mouth Pokémon,2,Poison,Fighting,0.7,23.0,3,Anticipation,Dry Skin,Poison Touch,300,48,61,40,61,40,50,140,100,60,Medium Fast,1,Human-Like,,50.0,10,1,1,1,1,0.5,1,0.5,0.5,2,2,4,0.25,0.5,1,1,0.5,1,1
542,454,Toxicroak,Toxiquak,ドクロッグ (Dokurog),4,Normal,Toxic Mouth Pokémon,2,Poison,Fighting,1.3,44.4,3,Anticipation,Dry Skin,Poison Touch,490,83,106,65,86,65,85,75,70,172,Medium Fast,1,Human-Like,,50.0,20,1,1,1,1,0.5,1,0.5,0.5,2,2,4,0.25,0.5,1,1,0.5,1,1
543,455,Carnivine,Venuflibis,マスキッパ (Muskippa),4,Normal,Bug Catcher Pokémon,1,Grass,,1.4,27.0,1,Levitate,,,454,74,100,72,90,72,46,200,70,159,Slow,1,Grass,,50.0,25,1,2,0.5,0.5,0.5,2,1,2,0,2,1,2,1,1,1,1,1,1
544,456,Finneon,Finneon,ケイコウオ (Keikouo),4,Normal,Wing Fish Pokémon,1,Water,,0.4,7.0,3,Swift Swim,Storm Drain,Water Veil,330,49,49,56,49,61,66,190,70,66,Erratic,1,Water 2,,50.0,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
545,457,Lumineon,Lumineon,ネオラント (Neolant),4,Normal,Neon Pokémon,1,Water,,1.2,24.0,3,Swift Swim,Storm Drain,Water Veil,460,69,69,76,69,86,91,75,70,161,Erratic,1,Water 2,,50.0,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
546,458,Mantyke,Mantirps,タマンタ (Tamanta),4,Normal,Kite Pokémon,2,Water,Flying,1.0,65.0,3,Swift Swim,Water Absorb,Water Veil,345,45,20,50,60,120,50,25,70,69,Slow,1,Undiscovered,,50.0,25,1,0.5,0.5,4,1,1,0.5,1,0,1,1,0.5,2,1,1,1,0.5,1
547,459,Snover,Shnebedeck,ユキカブリ (Yukikaburi),4,Normal,Frost Tree Pokémon,2,Grass,Ice,1.0,50.5,2,Snow Warning,,Soundproof,334,60,62,50,62,60,40,120,70,67,Slow,2,Grass,Monster,50.0,20,1,4,0.5,0.5,0.5,1,2,2,0.5,2,1,2,2,1,1,1,2,1
548,460,Abomasnow,Rexblisar,ユキノオー (Yukinooh),4,Normal,Frost Tree Pokémon,2,Grass,Ice,2.2,135.5,2,Snow Warning,,Soundproof,494,90,92,75,92,85,60,60,70,173,Slow,2,Grass,Monster,50.0,20,1,4,0.5,0.5,0.5,1,2,2,0.5,2,1,2,2,1,1,1,2,1
549,460,Mega Abomasnow,Rexblisar,ユキノオー (Yukinooh),4,Normal,Frost Tree Pokémon,2,Grass,Ice,2.7,185.0,1,Snow Warning,,,594,90,132,105,132,105,30,60,70,208,Slow,2,Grass,Monster,50.0,20,1,4,0.5,0.5,0.5,1,2,2,0.5,2,1,2,2,1,1,1,2,1
550,461,Weavile,Snibunna,マニューラ (Manyula),4,Normal,Sharp Claw Pokémon,2,Dark,Ice,1.1,34.0,2,Pressure,,Pickpocket,510,70,120,65,45,85,125,45,35,179,Medium Slow,1,Field,,50.0,20,1,2,1,1,1,0.5,4,1,1,1,0,2,2,0.5,1,0.5,2,2
551,462,Magnezone,Magnezone,ジバコイル (Jibacoil),4,Normal,Magnet Area Pokémon,2,Electric,Steel,1.2,180.0,3,Magnet Pull,Sturdy,Analytic,535,70,70,115,130,90,60,30,70,241,Medium Fast,1,Mineral,,,20,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5
552,463,Lickilicky,Schlurplek,ベロベルト (Berobelt),4,Normal,Licking Pokémon,1,Normal,,1.7,140.0,3,Own Tempo,Oblivious,Cloud Nine,515,110,85,95,80,95,50,30,70,180,Medium Fast,1,Monster,,50.0,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
553,464,Rhyperior,Rihornior,ドサイドン (Dosidon),4,Normal,Drill Pokémon,2,Ground,Rock,2.4,282.8,3,Lightning Rod,Solid Rock,Reckless,535,115,140,130,55,55,40,30,70,241,Slow,2,Field,Monster,50.0,20,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
554,465,Tangrowth,Tangoloss,モジャンボ (Mojumbo),4,Normal,Vine Pokémon,1,Grass,,2.0,128.6,3,Chlorophyll,Leaf Guard,Regenerator,535,100,100,125,110,50,50,30,70,187,Medium Fast,1,Grass,,50.0,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
555,466,Electivire,Elevoltek,エレキブル (Elekible),4,Normal,Thunderbolt Pokémon,1,Electric,,1.8,138.6,2,Motor Drive,,Vital Spirit,540,75,123,67,95,85,95,30,70,243,Medium Fast,1,Human-Like,,75.0,25,1,1,1,0,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
556,467,Magmortar,Magbrant,ブーバーン (Booburn),4,Normal,Blast Pokémon,1,Fire,,1.6,68.0,2,Flame Body,,Vital Spirit,540,75,95,67,125,95,83,30,70,243,Medium Fast,1,Human-Like,,75.0,25,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
557,468,Togekiss,Togekiss,トゲキッス (Togekiss),4,Normal,Jubilee Pokémon,2,Fairy,Flying,1.5,38.0,3,Hustle,Serene Grace,Super Luck,545,85,50,95,120,115,80,30,70,245,Fast,2,Fairy,Flying,87.5,10,1,1,1,2,0.5,2,0.25,2,0,1,1,0.25,2,1,0,0.5,2,1
558,469,Yanmega,Yanmega,メガヤンマ (Megayanma),4,Normal,Ogre Darner Pokémon,2,Bug,Flying,1.9,51.5,3,Speed Boost,Tinted Lens,Frisk,515,86,76,86,116,56,95,30,70,180,Medium Fast,1,Bug,,50.0,20,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
559,470,Leafeon,Folipurba,リーフィア (Leafia),4,Normal,Verdant Pokémon,1,Grass,,1.0,25.5,2,Leaf Guard,,Chlorophyll,525,65,110,130,60,65,95,45,35,184,Medium Fast,1,Field,,87.5,35,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
560,471,Glaceon,Glaziola,グレイシア (Glacia),4,Normal,Fresh Snow Pokémon,1,Ice,,0.8,25.9,2,Snow Cloak,,Ice Body,525,65,60,110,130,95,65,45,35,184,Medium Fast,1,Field,,87.5,35,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,1
561,472,Gliscor,Skorgro,グライオン (Glion),4,Normal,Fang Scorp Pokémon,2,Ground,Flying,2.0,42.5,3,Hyper Cutter,Sand Veil,Poison Heal,510,75,95,125,45,75,95,30,70,179,Medium Slow,1,Bug,,50.0,20,1,1,2,0,1,4,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1
562,473,Mamoswine,Mamutel,マンムー (Mammoo),4,Normal,Twin Tusk Pokémon,2,Ice,Ground,2.5,291.0,3,Oblivious,Snow Cloak,Thick Fat,530,110,130,80,70,60,80,50,70,239,Slow,1,Field,,50.0,20,1,2,2,0,2,1,2,0.5,1,1,1,1,1,1,1,1,2,1
563,474,Porygon-Z,Porygon-Z,ポリゴンＺ (Porygon-Z),4,Normal,Virtual Pokémon,1,Normal,,0.9,34.0,3,Adaptability,Download,Analytic,535,85,80,70,135,75,90,30,70,241,Medium Fast,1,Mineral,,,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
564,475,Gallade,Galagladi,エルレイド (Erureido),4,Normal,Blade Pokémon,2,Psychic,Fighting,1.6,52.0,2,Steadfast,,Justified,518,68,125,65,65,115,80,45,35,233,Slow,2,Amorphous,Human-Like,100.0,20,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2
565,475,Mega Gallade,Galagladi,エルレイド (Erureido),4,Normal,Blade Pokémon,2,Psychic,Fighting,1.6,56.4,1,Inner Focus,,,618,68,165,95,65,115,110,45,35,278,Slow,1,Amorphous,,100.0,20,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,2
566,476,Probopass,Voluminas,ダイノーズ (Dainose),4,Normal,Compass Pokémon,2,Rock,Steel,1.4,340.0,3,Sturdy,Magnet Pull,Sand Force,525,60,55,145,75,150,40,60,70,184,Medium Fast,1,Mineral,,50.0,20,0.25,1,2,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,1,0.5,1,1,0.5
567,477,Dusknoir,Zwirrfinst,ヨノワール (Yonoir),4,Normal,Gripper Pokémon,1,Ghost,,2.2,106.6,2,Pressure,,Frisk,525,45,100,135,65,135,45,45,35,236,Fast,1,Amorphous,,50.0,25,0,1,1,1,1,1,0,0.5,1,1,1,0.5,1,2,1,2,1,1
568,478,Froslass,Frosdedje,ユキメノコ (Yukimenoko),4,Normal,Snow Land Pokémon,2,Ice,Ghost,1.3,26.6,2,Snow Cloak,,Cursed Body,480,70,80,70,80,70,110,75,70,168,Medium Fast,2,Fairy,Mineral,0.0,20,0,2,1,1,1,0.5,0,0.5,1,1,1,0.5,2,2,1,2,2,1
569,479,Rotom,Rotom,ロトム (Rotom),4,Normal,Plasma Pokémon,2,Electric,Ghost,0.3,0.3,1,Levitate,,,440,50,50,77,95,77,91,45,70,154,Medium Fast,1,Amorphous,,,20,0,1,1,0.5,1,1,0,0.5,0,0.5,1,0.5,1,2,1,2,0.5,1
570,479,Heat Rotom,Rotom,ロトム (Rotom),4,Normal,Plasma Pokémon,2,Electric,Fire,0.3,0.3,1,Levitate,,,520,50,65,107,105,107,86,45,70,182,Medium Fast,1,Amorphous,,,20,1,0.5,2,0.5,0.5,0.5,1,1,0,0.5,1,0.5,2,1,1,1,0.25,0.5
571,479,Wash Rotom,Rotom,ロトム (Rotom),4,Normal,Plasma Pokémon,2,Electric,Water,0.3,0.3,1,Levitate,,,520,50,65,107,105,107,86,45,70,182,Medium Fast,1,Amorphous,,,20,1,0.5,0.5,1,2,0.5,1,1,0,0.5,1,1,1,1,1,1,0.25,1
572,479,Frost Rotom,Rotom,ロトム (Rotom),4,Normal,Plasma Pokémon,2,Electric,Ice,0.3,0.3,1,Levitate,,,520,50,65,107,105,107,86,45,70,182,Medium Fast,1,Amorphous,,,20,1,2,1,0.5,1,0.5,2,1,0,0.5,1,1,2,1,1,1,1,1
573,479,Fan Rotom,Rotom,ロトム (Rotom),4,Normal,Plasma Pokémon,2,Electric,Flying,0.3,0.3,1,Levitate,,,520,50,65,107,105,107,86,45,70,182,Medium Fast,1,Amorphous,,,20,1,1,1,1,0.5,2,0.5,1,0,0.5,1,0.5,2,1,1,1,0.5,1
574,479,Mow Rotom,Rotom,ロトム (Rotom),4,Normal,Plasma Pokémon,2,Electric,Grass,0.3,0.3,1,Levitate,,,520,50,65,107,105,107,86,45,70,182,Medium Fast,1,Amorphous,,,20,1,2,0.5,0.25,0.5,2,1,2,0,1,1,2,1,1,1,1,0.5,1
575,480,Uxie,Selfe,ユクシー (Yuxie),4,Sub Legendary,Knowledge Pokémon,1,Psychic,,0.3,0.3,1,Levitate,,,580,75,75,130,75,130,95,3,140,261,Slow,1,Undiscovered,,,80,1,1,1,1,1,1,0.5,1,0,1,0.5,2,1,2,1,2,1,1
576,481,Mesprit,Vesprit,エムリット (Emrit),4,Sub Legendary,Emotion Pokémon,1,Psychic,,0.3,0.3,1,Levitate,,,580,80,105,105,105,105,80,3,140,261,Slow,1,Undiscovered,,,80,1,1,1,1,1,1,0.5,1,0,1,0.5,2,1,2,1,2,1,1
577,482,Azelf,Tobutz,アグノム (Agnome),4,Sub Legendary,Willpower Pokémon,1,Psychic,,0.3,0.3,1,Levitate,,,580,75,125,70,125,70,115,3,140,261,Slow,1,Undiscovered,,,80,1,1,1,1,1,1,0.5,1,0,1,0.5,2,1,2,1,2,1,1
578,483,Dialga,Dialga,ディアルガ (Dialga),4,Legendary,Temporal Pokémon,2,Steel,Dragon,5.4,683.0,2,Pressure,,Telepathy,680,100,120,120,150,100,90,3,0,306,Slow,1,Undiscovered,,,120,0.5,1,0.5,0.5,0.25,1,2,0,2,0.5,0.5,0.5,0.5,1,1,1,0.5,1
579,484,Palkia,Palkia,パルキア (Palkia),4,Legendary,Spatial Pokémon,2,Water,Dragon,4.2,336.0,2,Pressure,,Telepathy,680,90,120,100,150,120,100,3,0,306,Slow,1,Undiscovered,,,120,1,0.25,0.25,1,1,1,1,1,1,1,1,1,1,1,2,1,0.5,2
580,485,Heatran,Heatran,ヒードラン (Heatran),4,Sub Legendary,Lava Dome Pokémon,2,Fire,Steel,1.7,430.0,2,Flash Fire,,Flame Body,600,91,90,106,130,106,77,3,100,270,Slow,1,Undiscovered,,50.0,10,0.5,0,2,1,0.25,0.25,2,0,4,0.5,0.5,0.25,1,1,0.5,1,0.25,0.25
581,486,Regigigas,Regigigas,レジギガス (Regigigas),4,Sub Legendary,Colossal Pokémon,1,Normal,,3.7,420.0,1,Slow Start,,,670,110,160,110,80,110,100,3,0,302,Slow,1,Undiscovered,,,120,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
582,487,Giratina Altered Forme,Giratina,ギラティナ (Giratina),4,Legendary,Renegade Pokémon,2,Ghost,Dragon,4.5,750.0,2,Pressure,,Telepathy,680,150,100,120,100,120,90,3,0,306,Slow,1,Undiscovered,,,120,0,0.5,0.5,0.5,0.5,2,0,0.5,1,1,1,0.5,1,2,2,2,1,2
583,487,Giratina Origin Forme,Giratina,ギラティナ (Giratina),4,Legendary,Renegade Pokémon,2,Ghost,Dragon,6.9,650.0,1,Levitate,,,680,150,120,100,120,100,90,3,0,306,Slow,1,Undiscovered,,,120,0,0.5,0.5,0.5,0.5,2,0,0.5,0,1,1,0.5,1,2,2,2,1,2
584,488,Cresselia,Cresselia,クレセリア (Cresselia),4,Sub Legendary,Lunar Pokémon,1,Psychic,,1.5,85.6,1,Levitate,,,600,120,70,120,75,130,85,3,100,270,Slow,1,Undiscovered,,0.0,120,1,1,1,1,1,1,0.5,1,0,1,0.5,2,1,2,1,2,1,1
585,489,Phione,Phione,フィオネ (Phione),4,Mythical,Sea Drifter Pokémon,1,Water,,0.4,3.1,1,Hydration,,,480,80,80,80,80,80,80,30,70,216,Slow,2,Fairy,Water 1,,40,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
586,490,Manaphy,Manaphy,マナフィ (Manaphy),4,Mythical,Seafaring Pokémon,1,Water,,0.3,1.4,1,Hydration,,,600,100,100,100,100,100,100,3,70,270,Slow,2,Fairy,Water 1,,10,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
587,491,Darkrai,Darkrai,ダークライ (Darkrai),4,Mythical,Pitch-Black Pokémon,1,Dark,,1.5,50.5,1,Bad Dreams,,,600,70,90,90,135,90,125,3,0,270,Slow,1,Undiscovered,,,120,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
588,492,Shaymin Land Forme,Shaymin,シェイミ (Shaymin),4,Mythical,Gratitude Pokémon,1,Grass,,0.2,2.1,1,Natural Cure,,,600,100,100,100,100,100,100,45,100,270,Medium Slow,1,Undiscovered,,,120,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
589,492,Shaymin Sky Forme,Shaymin,シェイミ (Shaymin),4,Mythical,Gratitude Pokémon,2,Grass,Flying,0.4,5.2,1,Serene Grace,,,600,100,103,75,120,75,127,45,100,270,Medium Slow,1,Undiscovered,,,120,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,1
590,493,Arceus,Arceus,アルセウス (Arceus),4,Mythical,Alpha Pokémon,1,Normal,,3.2,320.0,1,Multitype,,,720,120,120,120,120,120,120,3,0,324,Slow,1,Undiscovered,,,120,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
591,494,Victini,Victini,ビクティニ (Victini),5,Mythical,Victory Pokémon,2,Psychic,Fire,0.4,4.0,1,Victory Star,,,600,100,100,100,100,100,100,3,100,270,Slow,1,Undiscovered,,,120,1,0.5,2,1,0.5,0.5,0.5,1,2,1,0.5,1,2,2,1,2,0.5,0.5
592,495,Snivy,Serpifeu,ツタージャ (Tsutarja),5,Normal,Grass Snake Pokémon,1,Grass,,0.6,8.1,2,Overgrow,,Contrary,308,45,45,55,45,55,63,45,70,62,Medium Slow,2,Field,Grass,87.5,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
593,496,Servine,Efoserp,ジャノビー (Janovy),5,Normal,Grass Snake Pokémon,1,Grass,,0.8,16.0,2,Overgrow,,Contrary,413,60,60,75,60,75,83,45,70,145,Medium Slow,2,Field,Grass,87.5,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
594,497,Serperior,Serpiroyal,ジャローダ (Jalorda),5,Normal,Regal Pokémon,1,Grass,,3.3,63.0,2,Overgrow,,Contrary,528,75,75,95,75,95,113,45,70,238,Medium Slow,2,Field,Grass,87.5,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
595,498,Tepig,Floink,ポカブ (Pokabu),5,Normal,Fire Pig Pokémon,1,Fire,,0.5,9.9,2,Blaze,,Thick Fat,308,65,63,45,45,45,45,45,70,62,Medium Slow,1,Field,,87.5,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
596,499,Pignite,Ferkokel,チャオブー (Chaoboo),5,Normal,Fire Pig Pokémon,2,Fire,Fighting,1.0,55.5,2,Blaze,,Thick Fat,418,90,93,55,70,55,55,45,70,146,Medium Slow,1,Field,,87.5,20,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1
597,500,Emboar,Flambirex,エンブオー (Enbuoh),5,Normal,Mega Fire Pig Pokémon,2,Fire,Fighting,1.6,150.0,2,Blaze,,Reckless,528,110,123,65,100,65,65,45,70,238,Medium Slow,1,Field,,87.5,20,1,0.5,2,1,0.5,0.5,1,1,2,2,2,0.25,1,1,1,0.5,0.5,1
598,501,Oshawott,Ottaro,ミジュマル (Mijumaru),5,Normal,Sea Otter Pokémon,1,Water,,0.5,5.9,2,Torrent,,Shell Armor,308,55,55,45,63,45,45,45,70,62,Medium Slow,1,Field,,87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
599,502,Dewott,Zwottronin,フタチマル (Futachimaru),5,Normal,Discipline Pokémon,1,Water,,0.8,24.5,2,Torrent,,Shell Armor,413,75,75,60,83,60,60,45,70,145,Medium Slow,1,Field,,87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
600,503,Samurott,Admurai,ダイケンキ (Daikenki),5,Normal,Formidable Pokémon,1,Water,,1.5,94.6,2,Torrent,,Shell Armor,528,95,100,85,108,70,70,45,70,238,Medium Slow,1,Field,,87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
601,504,Patrat,Nagelotz,ミネズミ (Minezumi),5,Normal,Scout Pokémon,1,Normal,,0.5,11.6,3,Run Away,Keen Eye,Analytic,255,45,55,39,35,39,42,255,70,51,Medium Fast,1,Field,,50.0,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
602,505,Watchog,Kukmarda,ミルホッグ (Miruhog),5,Normal,Lookout Pokémon,1,Normal,,1.1,27.0,3,Illuminate,Keen Eye,Analytic,420,60,85,69,60,69,77,255,70,147,Medium Fast,1,Field,,50.0,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
603,506,Lillipup,Yorkleff,ヨーテリー (Yorterrie),5,Normal,Puppy Pokémon,1,Normal,,0.4,4.1,3,Vital Spirit,Pickup,Run Away,275,45,60,45,25,45,55,255,70,55,Medium Slow,1,Field,,50.0,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
604,507,Herdier,Terribark,ハーデリア (Herderrie),5,Normal,Loyal Dog Pokémon,1,Normal,,0.9,14.7,3,Intimidate,Sand Rush,Scrappy,370,65,80,65,35,65,60,120,70,130,Medium Slow,1,Field,,50.0,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
605,508,Stoutland,Bissbark,ムーランド (Mooland),5,Normal,Big-Hearted Pokémon,1,Normal,,1.2,61.0,3,Intimidate,Sand Rush,Scrappy,500,85,110,90,45,90,80,45,70,225,Medium Slow,1,Field,,50.0,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
606,509,Purrloin,Felilou,チョロネコ (Choroneko),5,Normal,Devious Pokémon,1,Dark,,0.4,10.1,3,Limber,Unburden,Prankster,281,41,50,37,50,37,66,255,70,56,Medium Fast,1,Field,,50.0,20,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
607,510,Liepard,Kleoparda,レパルダス (Lepardas),5,Normal,Cruel Pokémon,1,Dark,,1.1,37.5,3,Limber,Unburden,Prankster,446,64,88,50,88,50,106,90,70,156,Medium Fast,1,Field,,50.0,20,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
608,511,Pansage,Vegimak,ヤナップ (Yanappu),5,Normal,Grass Monkey Pokémon,1,Grass,,0.6,10.5,2,Gluttony,,Overgrow,316,50,53,48,53,48,64,190,70,63,Medium Fast,1,Field,,87.5,20,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
